domain;rank;url;ground truth;PTdetector
youtube.com;2;https://www.youtube.com;["Hammer.js@2.0.2", "SPF"];["Hammer.js:98.6", "SPF:89.5"]
amazon.com;3;https://www.amazon.com;["React", "Lo-Dash", "core-js", "Underscore"];["Lo-Dash:100", "Underscore:92.0", "core-js:98.1"]
imdb.com;5;https://www.imdb.com;["React", "Lo-Dash:100", "Underscore"];["Lo-Dash:100", "Underscore:92.0"]
pornhub.com;7;https://www.pornhub.com;["jQuery@3.6.0", "jQuery UI@1.12.1", "Head JS"];["Head JS:100.0", "jQuery:99.9", "jQuery UI:99.9"]
merriam-webster.com;11;https://www.merriam-webster.com;["jQuery@3.6.3", "jQuery UI@1.13.2", "Vue", "core-js"];["jQuery:99.9", "jQuery UI:96.1", "core-js:74.0"]
weather.com;14;https://www.weather.com;["React", "IfVisible.js", "Underscore"];["IfVisible.js:100", "Underscore:99.4"]
espn.com;18;https://www.espn.com;["React", "Lo-Dash", "jQuery", "Moment.js", "Underscore", "Backbone", "Moment Timezone", "core-js", "Modernizr"];["Lo-Dash:100", "jQuery:99.8", "Moment.js:97.4", "Underscore:92.0", "Backbone:90.3", "Moment Timezone:89.4", "core-js:98.9", "Modernizr:62.2"]
xnxx.com;21;https://www.xnxx.com;["jQuery@1.12.4", "RequireJS@2.3.6"];["jQuery:99.8", "RequireJS:99.4", "Dojo:64"]
mayoclinic.org;22;https://www.mayoclinic.org;["jQuery@1.11.0", "jQuery UI@1.12.1"];["jQuery:99.7", "jQuery UI:75.9"]
rottentomatoes.com;25;https://www.rottentomatoes.com;["jQuery UI@1.12.1", "jQuery@3.4.0"];["jQuery UI:99.9", "jQuery:99.9"]
nfl.com;28;https://www.nfl.com;["jQuery@3.6.0", "RequireJS@2.3.5", "React"];["jQuery:99.9", "RequireJS:98.9"]
mlb.com;29;https://www.mlb.com;["Lo-Dash@4.17.20", "jQuery@3.6.0", "React", "Underscore", "core-js@3.15.1"];["Lo-Dash:100", "jQuery:99.9", "Underscore:92.0", "core-js:98.9"]
ebay.com;35;https://www.ebay.com;["jQuery@3.5.1", "jQuery UI@1.10.2"];["jQuery:99.9", "jQuery UI:76.2", "Dojo: 64"]
cambridge.org;36;https://www.cambridge.org;["jQuery@3.6.0", "jQuery UI@1.13.1"];["jQuery:99.9", "jQuery UI:83.8"]
nih.gov;37;https://www.nih.gov;["jQuery@2.2.4", "FlexSlider"];["jQuery:99.8", "FlexSlider:90.0", "Isotope:56.6"]
xvideos.com;39;https://www.xvideos.com;["jQuery@1.12.4", "RequireJS@2.3.6"];["jQuery:99.8", "RequireJS:99.4", "Dojo:64.1"]
cnn.com;42;https://www.cnn.com;["jQuery@1.12.3", "React", "Preact", "Modernizr@3.6.0", "Moment.js@2.29.4", "core-js"];["Moment.js:99.8", "jQuery:99.8", "core-js:98.9", "React:81.9", "Preact:74.7", "Modernizr:69.8"]
linkedin.com;45;https://www.linkedin.com;["core-js@2.6.11"];["core-js:98.9", "Handlebars:63.9", "RequireJS:51.6"]
craigslist.org;46;https://www.craigslist.org;["jQuery@1.11.3", "jQuery UI@1.11.4"];["jQuery:99.7", "jQuery UI:99.3"]
netflix.com;48;https://www.netflix.com;["Underscore", "React"];["Underscore:96.9", "Lo-Dash:60"]
cdc.gov;49;https://www.cdc.gov;["jQuery@3.6.1", "Bootstrap@4.5.0"];["jQuery:99.9", "Bootstrap:91.6"]
bestbuy.com;52;https://www.bestbuy.com;["React", "Lo-Dash@4.17.21", "core-js@3.28.0", "Underscore"];["Lo-Dash:100", "Underscore:92.0", "core-js:89.1"]
people.com;57;https://www.people.com;["Lo-Dash@4.17.21", "jQuery@3.6.3", "Underscore", "core-js@3.0.0"];["Lo-Dash:100", "jQuery:99.9", "Underscore:92.0", "core-js:86.5"]
forbes.com;58;https://www.forbes.com;["React", "IfVisible.js", "core-js"];["IfVisible.js:100", "core-js:94.9"]
foxnews.com;59;https://www.foxnews.com;["Lo-Dash@4.17.4", "jQuery@3.1.1", "core-js@3.19.2", "Underscore"];["Lo-Dash:100", "jQuery:99.9", "Underscore:92.0", "core-js:88.7"]
ca.gov;61;https://www.ca.gov;["Bootstrap@4.6.0", "jQuery@3.4.1"];["jQuery:99.9", "Bootstrap:91.6"]
cnbc.com;62;https://www.cnbc.com;["jQuery@3.5.1", "React", "Hammer.js@2.0.7", "core-js@3.7.0", "IfVisible.js"];["IfVisible.js:100", "jQuery:99.9", "Hammer.js:92.8", "core-js:93.8"]
usps.com;63;https://www.usps.com;["jQuery", "RequireJS", "Bootstrap", "core-js"];["jQuery:99.9", "RequireJS:98.8", "Bootstrap:91.6", "core-js:86.5"]
irs.gov;66;https://www.irs.gov;["jQuery@3.6.0", "Underscore@1.13.3", "jQuery UI@1.13.2"];["jQuery:99.9", "Underscore:98.8", "jQuery UI:76.1"]
usatoday.com;68;https://www.usatoday.com;["Underscore", "core-js@2.6.7", "jQuery"];["Underscore:96.9", "jQuery:77.9", "core-js:98.9"]
macys.com;69;https://www.macys.com;["jQuery@3.5.1", "Backbone@1.2.3", "core-js@2.6.12"];["jQuery:99.9", "Backbone:90.3", "core-js:98.5"]
apartments.com;72;https://www.apartments.com;["jQuery@1.12.4", "RequireJS@2.1.20", "yepnope", "Underscore@1.4.4", "Knockout@3.3.0", "Modernizr@2.8.3", "core-js@3.0.0"];["jQuery:99.8", "RequireJS:98.9", "yepnope:91.7", "Underscore:90.7", "Knockout: 82.1", "Modernizr:70.4", "core-js:95.2"]
medlineplus.gov;75;https://www.medlineplus.gov;["jQuery UI@1.13.1", "jQuery@3.6.0"];["jQuery UI:100", "jQuery:99.9"]
marriott.com;76;https://www.marriott.com;["jQuery@3.6.0", "React", "Lo-Dash@4.17.21", "core-js@3.0.0", "Underscore"];["Lo-Dash:100", "jQuery:99.9", "Underscore:92.0", "core-js:98.1"]
walgreens.com;80;https://www.walgreens.com;["jQuery@3.6.0", "jQuery UI@1.12.1", "React", "Handlebars"];["jQuery:99.9", "Handlebars:98.5", "jQuery UI:84.8"]
cbssports.com;82;https://www.cbssports.com;["jQuery@1.8.3", "React", "Modernizr@2.8.3(Modified)", "RequireJS@2.3.5"];["jQuery:99.6", "RequireJS:98.9"]
doordash.com;86;https://www.doordash.com;["Lo-Dash@4.17.21", "core-js@2.6.12", "Underscore", "React"];["Lo-Dash:100", "Underscore:92.0", "core-js:97.3"]
foxsports.com;87;https://www.foxsports.com;["Lo-Dash@4.17.21", "Underscore", "core-js@3.18.3", "Vue"];["Lo-Dash:100", "Underscore:99.4", "core-js:98.1"]
nhl.com;94;https://www.nhl.com;["Bootstrap@3.3.2", "jQuery@1.9.1", "RequireJS@2.1.22", "core-js@3.0.0", "Moment.js", "Moment Timezone", "Handlebars"];["jQuery:99.7", "RequireJS:98.9", "Moment.js:97.7", "Moment Timezone:97.0", "Handlebars:96.0", "core-js:95.8"]
hulu.com;96;https://www.hulu.com;["Lo-Dash@4.17.20", "core-js@2.5.7", "React", "Underscore"];["Lo-Dash:100", "Underscore:92.0", "core-js:91.3"]
nps.gov;98;https://www.nps.gov;["jQuery@1.12.4", "Modernizr@3.6.0", "core-js@2.5.7", "Bootstrap"];["Bootstrap:100", "jQuery:99.8", "Modernizr:65.3", "core-js:98.9"]
onlyfans.com;100;https://www.onlyfans.com;["Hammer.js@2.0.7", "Vue", "core-js@3.23.3"];["Hammer.js:92.8", "core-js:97.6"]
att.com;101;https://www.att.com;["jQuery@3.6.0", "Lo-Dash@4.17.21", "core-js@3.22.0", "Underscore"];["Lo-Dash:100.01!1", "jQuery:99.92!1", "core-js:98.90!1", "Underscore:91.97!1"]
themoviedb.org;103;https://www.themoviedb.org;["Kendo UI", "jQuery@3.6.0", "Pusher"];["Kendo UI:99.89!1", "jQuery:99.87!1", "Pusher:99.55!1"]
marketwatch.com;104;https://www.marketwatch.com;["Highcharts@2.1.8", "jQuery@2.2.4", "core-js@3.25.1", "Underscore"];["jQuery:99.77!1", "Highcharts:98.51!1", "Underscore:96.90!1", "core-js:94.92!1", "Lo-Dash:60.00!1", "Numeral.js:58.42!1"]
nypost.com;106;https://www.nypost.com;["jQuery@3.6.0", "Lo-Dash@4.17.21", "core-js@2.6.5", "Underscore"];["Lo-Dash:100.01!1", "jQuery:99.92!1", "core-js:98.90!1", "Underscore:91.97!1"]
chase.com;107;https://www.chase.com;["jQuery@1.12.2", "RequireJS@2.1.15", "Underscore@1.8.3"];["jQuery:99.77!1", "RequireJS:98.88!1", "Underscore:97.52!1"]
