file_id,library,file,size,depth
1,AMP,v0.js,5005,13
2,AmplifyJS,amplify.core.js,5,2
3,AmplifyJS,amplify.store.js,13,4
4,AmplifyJS,amplify.min.js,30,4
5,Angular,core.umd.min.js,710,7
6,AngularJS,angular.min.js,60,4
7,Backbone,backbone.min.js,60,4
8,Bootstrap,bootstrap.min.js,245,5
9,CamanJS,caman.min.js,105,4
10,Can,ecosystem.min.js,10000,6
11,Can,everything.min.js,10000,6
12,Can,core.min.js,8941,10
13,Closure Library,base.min.js,184,7
14,core-js,minified.js,58,3
15,CreateJS,createjs.min.js,701,4
16,D3,d3.min.js,906,3
17,DC.js,dc.min.js,141,5
18,Dojo,dojo.js,9965,6
19,Ext JS,ext-all.js,9993,4
20,Fabric.js,fabric.min.js,884,7
21,FastClick,fastclick.min.js,4,2
22,FlexSlider,jquery.flexslider.min.js,58,3
23,FlotCharts,jquery.canvaswrapper.min.js,3,2
24,FuseJS,fuse.basic.min.js,24,3
25,FuseJS,fuse.min.js,24,3
26,gRaphaël,g.raphael-min.js,37,3
27,GreenSock JS,gsap.min.js,340,5
28,Hammer.js,hammer.min.js,61,4
29,Handlebars,handlebars.min.js,140,4
30,Handlebars,handlebars.runtime.min.js,62,3
31,Handsontable,handsontable.full.min.js,1056,5
32,Handsontable,handsontable.min.js,858,5
33,Head JS,head.css3.min.js,33,3
34,Head JS,head.min.js,37,3
35,Head JS,head.core.min.js,19,3
36,Head JS,head.load.min.js,6,2
37,Highcharts,highcharts.min.js,5792,12
38,IfVisible.js,ifvisible.min.js,13,2
39,Ink,ink.min.js,10000,4
40,Ink,ink-all.min.js,10000,4
41,Ionic,ionic.js,12,3
42,Isotope,isotope.pkgd.min.js,115,6
43,jQuery,jquery.slim.min.js,702,6
44,jQuery,jquery.min.js,814,6
45,jQuery Mobile,jquery.mobile.min.js,2438,10
46,jQuery Tools,jquery.tools.min.js,296,5
47,jQuery UI,jquery-ui.min.js,1088,6
48,Kendo UI,kendo.ui.core.min.js,1071,7
49,Knockout,knockout-latest.min.js,956,4
50,LABjs,LAB.min.js,11,2
51,Leaflet,leaflet.min.js,6501,15
52,Lo-Dash,lodash.core.min.js,6,1
53,Lo-Dash,lodash.min.js,258,2
54,Mapbox,mapbox-gl.js,66,4
55,Marionette,marionette.min.js,89,3
56,Material Design Lite,material.min.js,26,2
57,Matter.js,matter.min.js,318,4
58,Modernizr,modernizr.min.js,97,3
59,Moment Timezone,moment-timezone.min.js,26,2
60,Moment.js,moment.min.js,178,4
61,MooTools,mootools-core.min.js,1128,7
62,MooTools,mootools-core-compat.min.js,1293,7
63,Move,move.min.js,34,3
64,Numeral.js,numeral.min.js,103,6
65,Paper.js,paper-full.min.js,11,3
66,Paper.js,paper-core.min.js,11,3
67,Pixi.js,pixi.min.js,1938,10
68,Preact,preact.min.js,15,3
69,Processing.js,processing.min.js,75,3
70,Prototype,prototype.min.js,532,7
71,Pusher,pusher.min.js,118,7
72,Qooxdoo,q.min.js,9996,6
73,Raphaël,raphael.min.js,393,8
74,React,react.production.min.js,68,4
75,RequireJS,require.min.js,112,6
76,Riot,riot.min.js,38,5
77,Sammy,sammy.min.js,29,3
78,Scriptaculous,scriptaculous.min.js,6,2
79,Scriptaculous,builder.min.js,27,3
80,ScrollMagic,ScrollMagic.min.js,31,4
81,Sea.js,sea.js,38,4
82,Socket.IO,socket.io.min.js,6,2
83,SPF,spf.js,41,3
84,Spine,spine.min.js,109,5
85,SWFObject,swfobject.min.js,23,3
86,three.js,three.min.js,2412,7
87,Tween.js,tween.umd.min.js,134,5
88,Two,two.min.js,327,6
89,Underscore,underscore.min.js,157,4
90,Velocity.js,velocity.min.js,156,4
91,Visibility.js,visibility.min.js,35,4
92,Vue,vue.global.min.js,360,5
93,Vue,vue.runtime.global.min.js,360,5
94,WebFont Loader,webfont.js,3,2
95,yepnope,yepnope.min.js,6,2
96,YUI 3,yui-min.js,200,7
97,Zepto.js,zepto.min.js,176,4
98,core-js,core.min.js,492,3
99,Modernizr,modernizr.min.js,90,3
